delivery_date,price_peak_eur_mwh,price_average_eur_mwh,price_minimum_eur_mwh,portugal_peak_eur_mwh,periods,negative_price_periods,spain_portugal_peak_spread
2026-06-13,129.46,45.193125,-2.1,129.46,96,35,0.0
2026-06-14,137.43,60.47854166666667,-2.1,137.43,96,33,0.0
2026-06-15,165.2,87.75395833333333,0.84,165.2,96,0,0.0
2026-06-16,159.16,98.30343749999999,18.08,159.16,96,0,0.0
2026-06-17,158.02,94.90010416666667,4.1,158.02,96,0,0.0
2026-06-18,142.67,92.64125,11.01,142.67,96,0,0.0
2026-06-19,150.01,85.28354166666666,0.84,150.01,96,0,0.0
2026-06-20,129.45,66.3540625,-0.02,129.45,96,19,0.0
2026-06-21,143.31,56.76885416666667,-0.81,143.31,96,26,0.0
2026-06-22,185.9,99.88520833333332,30.01,185.9,96,0,0.0
2026-06-23,185.01,112.4215625,71.4,185.01,96,0,0.0
2026-06-24,146.5,95.56562500000001,28.0,146.5,96,0,0.0
2026-06-25,150.01,79.563125,1.0,150.01,96,0,0.0
2026-06-26,151.43,87.49927083333334,3.08,151.43,96,0,0.0
2026-06-27,161.45,70.193125,-0.01,161.45,96,7,0.0
2026-06-28,141.99,66.46052083333333,0.0,141.99,96,0,0.0
2026-06-29,151.53,83.511875,4.53,151.53,96,0,0.0
2026-06-30,136.75,95.35489583333333,45.5,136.75,96,0,0.0
2026-07-01,125.98,56.7721875,0.0,125.98,96,0,0.0
2026-07-02,123.84,46.7875,-0.01,123.84,96,23,0.0
2026-07-03,131.12,47.3109375,-0.11,131.12,96,19,0.0
2026-07-04,128.84,48.85333333333333,-0.81,128.84,96,33,0.0
2026-07-05,160.72,63.80770833333333,-0.19,160.72,96,24,0.0
2026-07-06,165.0,100.55322916666667,10.0,165.0,96,0,0.0
2026-07-07,171.11,113.9534375,70.0,171.11,96,0,0.0
2026-07-08,175.41,109.84864583333332,38.95,175.41,96,0,0.0
2026-07-09,181.99,112.77010416666667,15.57,181.99,96,0,0.0
2026-07-10,172.7,117.85229166666666,30.0,172.7,96,0,0.0
2026-07-11,160.31,87.31520833333333,-0.01,160.31,96,8,0.0
2026-07-12,153.42,72.0040625,-1.43,153.42,96,28,0.0
2026-07-13,220.0,124.95708333333333,47.58,220.0,96,0,0.0
2026-07-14,178.44,124.0778125,60.44,178.44,96,0,0.0
2026-07-15,199.99,138.10520833333334,88.31,199.99,96,0,0.0
2026-07-16,189.51,135.2665625,70.79,189.51,96,0,0.0
2026-07-17,175.0,137.53427083333335,97.68,175.0,96,0,0.0
2026-07-18,168.41,90.74333333333334,0.0,168.41,96,0,0.0
2026-07-19,178.01,90.98104166666667,-0.07,178.01,96,14,0.0
2026-07-20,186.34,131.36416666666668,60.0,186.34,96,0,0.0
2026-07-21,176.67,136.24125,82.4,176.67,96,0,0.0
2026-07-22,287.9,150.31562499999998,90.0,287.9,96,0,0.0
2026-07-23,290.0,136.733125,34.98,290.0,96,0,0.0
2026-07-24,190.93,110.86791666666666,0.01,190.93,96,0,0.0
2026-07-25,175.92,82.0615625,-2.0,175.92,96,29,0.0
2026-07-26,177.46,69.37489583333333,-1.0,177.46,96,37,0.0
2026-07-27,250.0,98.01937500000001,0.0,250.0,96,0,0.0
2026-07-28,234.46,123.68093750000001,1.08,234.46,96,0,0.0
2026-07-29,225.09,120.42541666666666,2.2,225.09,96,0,0.0
2026-07-30,220.0,128.55229166666666,4.2,220.0,96,0,0.0
2026-07-31,182.6,140.01385416666668,60.0,182.6,96,0,0.0
2026-08-01,198.69,111.68364583333333,0.29,198.69,96,0,0.0
2026-08-02,210.3,106.19666666666666,-0.3,210.3,96,19,0.0
2026-08-03,222.69,151.866875,75.0,222.69,96,0,0.0
2026-08-04,212.52,146.37083333333334,69.0,212.52,96,0,0.0
2026-08-05,199.47,118.91447916666668,4.0,199.47,96,0,0.0
2026-08-06,209.61,109.50989583333335,1.5,209.61,96,0,0.0
2026-08-07,220.0,119.03072916666667,5.0,220.0,96,0,0.0
2026-08-08,191.01,108.60947916666667,0.0,191.01,96,0,0.0
2026-08-09,175.73,94.388125,-0.11,175.73,96,18,0.0
2026-08-10,233.76,126.7553125,21.0,233.76,96,0,0.0
2026-08-11,235.51,128.85010416666668,12.14,235.51,96,0,0.0
