delivery_date,demand_mwh,wind_mwh,solar_pv_mwh,solar_thermal_mwh,nuclear_mwh,hydro_mwh,pumped_storage_mwh,pumped_consumption_mwh,combined_cycle_mwh,net_imports_mwh,solar_mwh
2026-06-17,736525.06,83839.46,247841.5,22144.89,167504.98,85823.68,16313.22,,145496.78,,269986.39
2026-06-18,742671.12,110822.68,255553.96,22203.28,167830.42,75704.43,15393.31,,141667.1,,277757.24
2026-06-19,742954.18,112600.87,254473.86,18177.47,167711.85,80966.9,20198.11,,143280.76,,272651.32999999996
2026-06-20,672484.57,141220.7,229463.85,17486.86,167090.98,57762.67,24803.1,,95184.59,,246950.71000000002
2026-06-21,645218.4,159636.7,226255.17,18886.68,167012.36,51880.19,21426.74,,89026.37,,245141.85
2026-06-22,772619.15,140960.59,238551.62,13673.55,166867.48,83022.96,20340.77,,158057.95,,252225.16999999998
2026-06-23,786755.8899999999,111373.11,247111.21,8715.39,167040.51,98474.88,16035.04,,179250.18,,255826.59999999998
2026-06-24,745426.4400000001,116511.3,240434.75,14756.3,167545.4,91816.53,21569.37,,165189.23,,255191.05
2026-06-25,772911.6900000001,156099.14,234240.5,18121.14,167664.24,79105.28,24342.83,,158598.26,,252361.64
2026-06-26,758039.17,99911.48,266349.05,22575.93,167697.29,81563.45,19978.7,,157213.16,,288924.98
2026-06-27,680338.4899999999,91995.76,247093.3,27148.44,167528.03,67966.65,22969.88,,142556.52,,274241.74
2026-06-28,641215.9,104039.94,205935.64,22259.5,167226.75,55893.17,20684.87,,104750.09,,228195.14
2026-06-29,753092.89,180657.38,243335.57,23643.99,167495.66,71302.3,18893.4,,113374.17,,266979.56
2026-06-30,790251.9400000001,134776.79,257287.23,23523.72,166776.45,82887.99,18017.24,,145984.0,,280810.95
2026-07-01,790446.16,261626.28,232821.89,21408.36,167641.8,57425.25,16085.63,,106944.54,,254230.25
2026-07-02,776818.84,279210.89,223890.74,23144.37,167884.27,42957.03,15823.15,,96922.27,,247035.11
2026-07-03,769598.4700000001,256186.48,249022.93,22055.91,167955.64,39155.37,26214.3,,93940.66,,271078.83999999997
2026-07-04,686243.0599999999,178729.33,236448.17,23911.57,167598.0,40685.25,28002.13,,83805.12,,260359.74000000002
2026-07-05,657481.7699999999,108731.84,250829.84,22227.45,167482.19,48199.24,29099.81,,79462.65,,273057.29
2026-07-06,788883.37,67995.03,266476.23,19971.16,167481.77,88448.89,25119.57,,156238.44,,286447.38999999996
2026-07-07,810431.92,82560.12,243863.42,22055.37,167518.82,85077.33,21125.11,,163814.95,,265918.79000000004
2026-07-08,816759.99,55958.88,275692.63,23026.13,167297.66,78462.56,23985.45,,189555.62,,298718.76
